KEY,CODE_ID,PRICETYPE_ID,TIMESTAMP_ID,名称,类型,类别,QUOTE_ID,PRICEREPORTITEMID,FORWARD_PERIOD,FORWARD_YEAR,UNIT_ID1,UNIT_ID2
27549|8|6,27549,8,6,代码 27549（PT8/TS6）,日,其他,275490600,0,0,2026,3,44
27550|8|6,27550,8,6,代码 27550（PT8/TS6）,日,其他,275500600,0,0,2026,3,44
27070|8|6,27070,8,6,"理查兹湾 4,800 kcal fob（周均价）",日,煤炭,270700600,0,0,2026,3,44
2645|2|6,2645,2,6,代码 2645（PT2/TS6）,日,其他,26450601,0,2027,2027,3,44
46775|8|0,46775,8,0,代码 46775（PT8/TS0）,周,其他,467750000,0,32,2026,3,44
46776|8|0,46776,8,0,代码 46776（PT8/TS0）,周,其他,467760000,0,32,2026,3,44
46777|8|0,46777,8,0,代码 46777（PT8/TS0）,周,其他,467770000,0,32,2026,3,44
46778|8|0,46778,8,0,代码 46778（PT8/TS0）,周,其他,467780000,0,8,2026,3,44
46779|8|0,46779,8,0,代码 46779（PT8/TS0）,周,其他,467790000,0,8,2026,3,44
46937|3|6,46937,3,6,代码 46937（PT3/TS6）,日,其他,469370601,0,9,2026,3,44
2581|8|6,2581,8,6,波罗的海港口 fob（周均价）,日,煤炭,25810600,0,0,2026,3,44
46774|8|0,46774,8,0,代码 46774（PT8/TS0）,周,其他,467740000,0,32,2026,3,44
2582|8|6,2582,8,6,"Vostochny 6,000 kcal fob（周均价）",日,煤炭,25820600,0,0,2026,3,44
20205|8|6,20205,8,6,Black Sea fob（周均价）,日,煤炭,202050600,0,0,2026,3,44
34996|8|6,34996,8,6,代码 34996（PT8/TS6）,日,其他,349960600,0,0,2026,3,44
2646|1|6,2646,1,6,代码 2646（PT1/TS6）,日,其他,26460601,0,9,2026,3,44
2636|1|6,2636,1,6,代码 2636（PT1/TS6）,日,其他,26360601,0,4,2026,3,44
